dish_id,image_path,weight_g,carbs_g,protein_g,fat_g
dish_1563996485,imagery/realsense_overhead/dish_1563996485/rgb.png,201.0,16.567097,4.172902,11.607642
dish_1564761488,imagery/realsense_overhead/dish_1564761488/rgb.png,336.0,40.558998,21.735001,8.358
dish_1559239151,imagery/realsense_overhead/dish_1559239151/rgb.png,40.0,1.44,1.16,0.16
dish_1559678330,imagery/realsense_overhead/dish_1559678330/rgb.png,150.0,5.269608,3.199019,16.186766
dish_1563998210,imagery/realsense_overhead/dish_1563998210/rgb.png,91.0,2.163187,22.614895,4.958992
dish_1565033110,imagery/realsense_overhead/dish_1565033110/rgb.png,147.0,9.355,3.418,0.588
dish_1564428444,imagery/realsense_overhead/dish_1564428444/rgb.png,277.0,14.948835,4.712034,10.32739
dish_1558459115,imagery/realsense_overhead/dish_1558459115/rgb.png,298.0,43.459003,6.616,10.487999
dish_1558723777,imagery/realsense_overhead/dish_1558723777/rgb.png,143.0,20.02,0.429,0.286
dish_1558721757,imagery/realsense_overhead/dish_1558721757/rgb.png,133.0,30.191,29.792002,65.834999
dish_1564777960,imagery/realsense_overhead/dish_1564777960/rgb.png,147.0,16.270294,26.4312,16.715342
dish_1558376306,imagery/realsense_overhead/dish_1558376306/rgb.png,108.0,4.536,20.844,29.484001
dish_1558114086,imagery/realsense_overhead/dish_1558114086/rgb.png,143.0,0.429,20.02,0.286
dish_1558720236,imagery/realsense_overhead/dish_1558720236/rgb.png,407.0,60.460999,31.913002,66.440002
dish_1563468269,imagery/realsense_overhead/dish_1563468269/rgb.png,302.0,32.762001,1.768,0.56
dish_1558380557,imagery/realsense_overhead/dish_1558380557/rgb.png,212.0,24.960001,32.732002,54.440002
dish_1562873028,imagery/realsense_overhead/dish_1562873028/rgb.png,320.0,34.232201,20.963665,16.123878
dish_1558637769,imagery/realsense_overhead/dish_1558637769/rgb.png,154.0,21.559999,0.462,0.308
dish_1558724959,imagery/realsense_overhead/dish_1558724959/rgb.png,426.0,57.004002,21.298,36.466
dish_1558115867,imagery/realsense_overhead/dish_1558115867/rgb.png,23.0,5.221,5.152,11.385
dish_1561580370,imagery/realsense_overhead/dish_1561580370/rgb.png,124.0,16.20141,5.41,4.96353
dish_1562618000,imagery/realsense_overhead/dish_1562618000/rgb.png,448.0,30.821442,59.159676,36.103981
dish_1561061658,imagery/realsense_overhead/dish_1561061658/rgb.png,227.0,24.678637,8.949248,12.284481
dish_1559838402,imagery/realsense_overhead/dish_1559838402/rgb.png,233.0,43.154999,5.249,3.797
dish_1564686832,imagery/realsense_overhead/dish_1564686832/rgb.png,392.0,64.516342,54.179504,39.732468
dish_1561753238,imagery/realsense_overhead/dish_1561753238/rgb.png,333.0,14.026631,28.881098,13.71139
dish_1566938026,imagery/realsense_overhead/dish_1566938026/rgb.png,219.0,37.536308,33.509502,17.546904
dish_1562617703,imagery/realsense_overhead/dish_1562617703/rgb.png,110.0,26.950001,4.51,6.49
dish_1559751801,imagery/realsense_overhead/dish_1559751801/rgb.png,343.0,32.778,29.228001,22.040001
dish_1564000490,imagery/realsense_overhead/dish_1564000490/rgb.png,325.0,49.639648,39.909866,19.150002
dish_1564000459,imagery/realsense_overhead/dish_1564000459/rgb.png,217.0,44.995647,36.453865,16.882004
dish_1558457530,imagery/realsense_overhead/dish_1558457530/rgb.png,64.0,3.2,1.152,0.192
dish_1558723449,imagery/realsense_overhead/dish_1558723449/rgb.png,143.0,20.02,0.429,0.286
dish_1567628157,imagery/realsense_overhead/dish_1567628157/rgb.png,355.0,25.867041,37.479683,36.018696
dish_1566502505,imagery/realsense_overhead/dish_1566502505/rgb.png,275.0,33.146801,31.874937,22.45969
dish_1565728415,imagery/realsense_overhead/dish_1565728415/rgb.png,80.0,16.724396,12.005533,8.405299
dish_1565383026,imagery/realsense_overhead/dish_1565383026/rgb.png,287.0,12.198999,3.695,14.031
dish_1558642089,imagery/realsense_overhead/dish_1558642089/rgb.png,96.0,9.6,0.864,0.192
dish_1566849923,imagery/realsense_overhead/dish_1566849923/rgb.png,240.0,16.214001,2.093,7.515
dish_1562959732,imagery/realsense_overhead/dish_1562959732/rgb.png,232.0,31.110981,28.858997,14.678156
dish_1560368972,imagery/realsense_overhead/dish_1560368972/rgb.png,107.0,13.621221,14.67344,8.696033
dish_1566502537,imagery/realsense_overhead/dish_1566502537/rgb.png,315.0,34.292435,41.827816,24.27223
dish_1561576590,imagery/realsense_overhead/dish_1561576590/rgb.png,101.0,3.387423,0.896671,1.295191
dish_1558723866,imagery/realsense_overhead/dish_1558723866/rgb.png,59.0,2.95,1.062,0.177
dish_1564778030,imagery/realsense_overhead/dish_1564778030/rgb.png,283.0,23.514265,30.773952,31.904985
dish_1561392512,imagery/realsense_overhead/dish_1561392512/rgb.png,75.0,10.5,0.525,0.225
dish_1564675118,imagery/realsense_overhead/dish_1564675118/rgb.png,238.0,34.125175,2.032732,4.080829
dish_1566838407,imagery/realsense_overhead/dish_1566838407/rgb.png,558.0,62.420345,9.731463,9.825659
dish_1559319860,imagery/realsense_overhead/dish_1559319860/rgb.png,13.0,0.182,4.81,5.46
dish_1559242568,imagery/realsense_overhead/dish_1559242568/rgb.png,203.0,30.855999,0.812,0.203
dish_1563824339,imagery/realsense_overhead/dish_1563824339/rgb.png,175.0,12.075,2.098,4.087
dish_1567021831,imagery/realsense_overhead/dish_1567021831/rgb.png,228.0,8.228521,22.713125,27.216339
dish_1559846099,imagery/realsense_overhead/dish_1559846099/rgb.png,114.0,15.712999,7.688,14.642001
dish_1562873155,imagery/realsense_overhead/dish_1562873155/rgb.png,79.0,5.39175,1.38645,2.052025
dish_1562094621,imagery/realsense_overhead/dish_1562094621/rgb.png,34.0,2.38,0.612,0.034
dish_1563900150,imagery/realsense_overhead/dish_1563900150/rgb.png,154.0,10.284879,10.978048,12.745122
dish_1562086702,imagery/realsense_overhead/dish_1562086702/rgb.png,33.0,0.462,12.21,13.86
dish_1564429894,imagery/realsense_overhead/dish_1564429894/rgb.png,566.0,73.531738,25.254065,11.819027
dish_1561662458,imagery/realsense_overhead/dish_1561662458/rgb.png,119.0,21.055183,3.202388,4.855837
dish_1558720364,imagery/realsense_overhead/dish_1558720364/rgb.png,142.0,19.879999,0.426,0.284
dish_1559845290,imagery/realsense_overhead/dish_1559845290/rgb.png,86.0,14.62,1.72,0.086
dish_1559844506,imagery/realsense_overhead/dish_1559844506/rgb.png,180.0,25.1,1.312,0.459
dish_1560360055,imagery/realsense_overhead/dish_1560360055/rgb.png,180.0,4.154,22.556999,27.786999
dish_1567106825,imagery/realsense_overhead/dish_1567106825/rgb.png,104.0,3.357732,13.460875,16.905151
dish_1562099053,imagery/realsense_overhead/dish_1562099053/rgb.png,37.0,12.395,4.144,3.478
dish_1560453380,imagery/realsense_overhead/dish_1560453380/rgb.png,480.0,25.491495,41.922752,15.234276
dish_1566849327,imagery/realsense_overhead/dish_1566849327/rgb.png,362.0,14.87,55.122002,31.255999
dish_1560527191,imagery/realsense_overhead/dish_1560527191/rgb.png,318.0,28.933577,34.38044,45.395912
dish_1563898786,imagery/realsense_overhead/dish_1563898786/rgb.png,344.0,11.427504,23.636036,31.47023
dish_1560973958,imagery/realsense_overhead/dish_1560973958/rgb.png,121.0,20.729744,4.312272,6.214187
dish_1558546663,imagery/realsense_overhead/dish_1558546663/rgb.png,197.0,30.264,10.601,22.108002
dish_1563206582,imagery/realsense_overhead/dish_1563206582/rgb.png,320.0,16.967773,26.033964,4.417208
dish_1565207815,imagery/realsense_overhead/dish_1565207815/rgb.png,80.0,7.094023,2.678475,1.023567
dish_1568305257,imagery/realsense_overhead/dish_1568305257/rgb.png,420.0,9.31325,52.072983,65.496887
dish_1568314823,imagery/realsense_overhead/dish_1568314823/rgb.png,90.0,8.1,1.8,13.500001
dish_1565119464,imagery/realsense_overhead/dish_1565119464/rgb.png,223.0,44.41399,28.041883,23.109737
dish_1565725047,imagery/realsense_overhead/dish_1565725047/rgb.png,110.0,9.372,0.946,4.84
dish_1559841163,imagery/realsense_overhead/dish_1559841163/rgb.png,335.0,27.539,21.153002,18.222002
dish_1563568338,imagery/realsense_overhead/dish_1563568338/rgb.png,371.0,57.599113,38.704674,29.600521
dish_1563468299,imagery/realsense_overhead/dish_1563468299/rgb.png,385.0,35.584,10.898,4.129
dish_1558027001,imagery/realsense_overhead/dish_1558027001/rgb.png,68.0,5.168,0.408,0.068
dish_1565033265,imagery/realsense_overhead/dish_1565033265/rgb.png,625.0,19.202002,76.664001,106.343002
dish_1563475921,imagery/realsense_overhead/dish_1563475921/rgb.png,348.0,27.165054,19.799664,6.723852
dish_1561665024,imagery/realsense_overhead/dish_1561665024/rgb.png,121.0,8.948565,2.141329,6.984664
dish_1563813308,imagery/realsense_overhead/dish_1563813308/rgb.png,76.0,3.901661,15.332276,16.446194
dish_1561062555,imagery/realsense_overhead/dish_1561062555/rgb.png,32.0,4.405365,1.027732,3.147569
dish_1558723414,imagery/realsense_overhead/dish_1558723414/rgb.png,49.0,10.78,1.519,1.176
dish_1562691674,imagery/realsense_overhead/dish_1562691674/rgb.png,435.0,42.573318,26.482393,11.33825
dish_1566591080,imagery/realsense_overhead/dish_1566591080/rgb.png,549.0,19.378721,103.567314,43.513371
dish_1564082462,imagery/realsense_overhead/dish_1564082462/rgb.png,609.0,40.532917,108.82251,32.071827
dish_1562602860,imagery/realsense_overhead/dish_1562602860/rgb.png,258.0,20.834251,10.206213,5.622155
dish_1561739954,imagery/realsense_overhead/dish_1561739954/rgb.png,225.0,16.556,15.39,16.059999
dish_1558638983,imagery/realsense_overhead/dish_1558638983/rgb.png,56.0,12.32,1.736,1.344
dish_1558631825,imagery/realsense_overhead/dish_1558631825/rgb.png,112.0,24.639999,3.472,2.688
dish_1564689108,imagery/realsense_overhead/dish_1564689108/rgb.png,159.0,13.156699,4.929469,15.866496
dish_1563216440,imagery/realsense_overhead/dish_1563216440/rgb.png,352.0,39.857891,44.691349,6.472354
dish_1559240908,imagery/realsense_overhead/dish_1559240908/rgb.png,128.0,15.36,1.152,0.128
dish_1563395480,imagery/realsense_overhead/dish_1563395480/rgb.png,329.0,31.81958,29.161797,14.106581
dish_1559235815,imagery/realsense_overhead/dish_1559235815/rgb.png,268.0,31.334002,19.628799,16.284
dish_1565640272,imagery/realsense_overhead/dish_1565640272/rgb.png,405.0,49.740002,16.559999,13.907999
dish_1565898158,imagery/realsense_overhead/dish_1565898158/rgb.png,194.0,10.249402,25.324493,10.293161
dish_1565022062,imagery/realsense_overhead/dish_1565022062/rgb.png,366.0,30.903877,19.271049,2.846122
dish_1558719994,imagery/realsense_overhead/dish_1558719994/rgb.png,133.0,30.191,29.792002,65.834999
dish_1562960520,imagery/realsense_overhead/dish_1562960520/rgb.png,303.0,31.715603,29.545202,19.659971
dish_1560441270,imagery/realsense_overhead/dish_1560441270/rgb.png,46.0,5.304,0.835,0.063
dish_1561663855,imagery/realsense_overhead/dish_1561663855/rgb.png,139.0,14.409589,15.28675,7.395212
dish_1563389199,imagery/realsense_overhead/dish_1563389199/rgb.png,284.0,70.210716,16.497627,8.273479
dish_1566488928,imagery/realsense_overhead/dish_1566488928/rgb.png,147.0,19.982441,1.327024,2.219561
dish_1558031302,imagery/realsense_overhead/dish_1558031302/rgb.png,74.0,12.58,1.48,0.074
dish_1558723926,imagery/realsense_overhead/dish_1558723926/rgb.png,107.0,4.173,0.963,0.214
dish_1563392128,imagery/realsense_overhead/dish_1563392128/rgb.png,162.0,6.487778,21.133221,18.81292
dish_1563910171,imagery/realsense_overhead/dish_1563910171/rgb.png,423.0,24.938656,53.608376,27.285721
dish_1560368464,imagery/realsense_overhead/dish_1560368464/rgb.png,275.0,16.807095,29.051191,18.062435
dish_1560368990,imagery/realsense_overhead/dish_1560368990/rgb.png,119.0,14.39169,14.986163,9.981677
dish_1562958563,imagery/realsense_overhead/dish_1562958563/rgb.png,68.0,2.686,8.158,9.767
dish_1561579617,imagery/realsense_overhead/dish_1561579617/rgb.png,304.0,21.115883,4.427353,4.552824
dish_1566333167,imagery/realsense_overhead/dish_1566333167/rgb.png,140.0,31.633934,20.294445,14.501362
dish_1565033139,imagery/realsense_overhead/dish_1565033139/rgb.png,274.0,17.355999,4.434,14.177
dish_1563551194,imagery/realsense_overhead/dish_1563551194/rgb.png,400.0,57.670921,27.842804,14.045855
dish_1563464480,imagery/realsense_overhead/dish_1563464480/rgb.png,213.0,25.838001,8.302,10.918
dish_1567020054,imagery/realsense_overhead/dish_1567020054/rgb.png,145.0,7.937456,14.210079,11.540041
dish_1568649387,imagery/realsense_overhead/dish_1568649387/rgb.png,192.0,28.488777,2.512788,5.302399
dish_1565370004,imagery/realsense_overhead/dish_1565370004/rgb.png,370.0,11.23975,36.877651,41.655426
dish_1566499633,imagery/realsense_overhead/dish_1566499633/rgb.png,139.0,8.426495,3.023964,14.183504
dish_1559849412,imagery/realsense_overhead/dish_1559849412/rgb.png,61.0,13.847,13.664001,30.195
dish_1558719336,imagery/realsense_overhead/dish_1558719336/rgb.png,97.0,4.85,1.746,0.291
dish_1562602657,imagery/realsense_overhead/dish_1562602657/rgb.png,236.0,31.015892,24.324261,44.069649
dish_1558116201,imagery/realsense_overhead/dish_1558116201/rgb.png,91.0,3.822,17.563,24.843
dish_1559668314,imagery/realsense_overhead/dish_1559668314/rgb.png,300.0,32.832001,21.035,38.153999
dish_1557861697,imagery/realsense_overhead/dish_1557861697/rgb.png,53.0,3.127,0.53,0.106
dish_1558721484,imagery/realsense_overhead/dish_1558721484/rgb.png,62.0,2.418,0.558,0.124
dish_1565379251,imagery/realsense_overhead/dish_1565379251/rgb.png,67.0,6.608891,0.59528,0.792689
dish_1563306392,imagery/realsense_overhead/dish_1563306392/rgb.png,288.0,5.710499,77.775475,13.979971
dish_1559843335,imagery/realsense_overhead/dish_1559843335/rgb.png,77.0,6.16,0.539,0.231
dish_1558549214,imagery/realsense_overhead/dish_1558549214/rgb.png,361.0,53.875004,5.712,0.722
dish_1562775488,imagery/realsense_overhead/dish_1562775488/rgb.png,145.0,12.433001,8.56,0.158
dish_1562787956,imagery/realsense_overhead/dish_1562787956/rgb.png,61.0,2.623,1.952,1.281
dish_1562775212,imagery/realsense_overhead/dish_1562775212/rgb.png,136.0,16.32,3.264,1.904
dish_1560801773,imagery/realsense_overhead/dish_1560801773/rgb.png,54.0,2.7,0.972,0.162
dish_1559238435,imagery/realsense_overhead/dish_1559238435/rgb.png,202.0,30.703999,0.808,0.202
dish_1562008813,imagery/realsense_overhead/dish_1562008813/rgb.png,225.0,15.597978,6.029664,15.571491
dish_1568061202,imagery/realsense_overhead/dish_1568061202/rgb.png,334.0,39.151718,9.440392,7.670484
dish_1560445069,imagery/realsense_overhead/dish_1560445069/rgb.png,243.0,22.112999,1.215,0.243
dish_1566502573,imagery/realsense_overhead/dish_1566502573/rgb.png,487.0,60.718185,51.18927,43.20623
dish_1563900172,imagery/realsense_overhead/dish_1563900172/rgb.png,255.0,18.36488,11.786048,12.947122
dish_1562785132,imagery/realsense_overhead/dish_1562785132/rgb.png,192.0,10.392798,28.955555,24.6008
dish_1565383097,imagery/realsense_overhead/dish_1565383097/rgb.png,430.0,13.332999,50.022999,25.929001
dish_1559233102,imagery/realsense_overhead/dish_1559233102/rgb.png,124.0,1.984,12.400001,13.64
dish_1560357427,imagery/realsense_overhead/dish_1560357427/rgb.png,241.0,21.931,1.205,0.241
dish_1568401261,imagery/realsense_overhead/dish_1568401261/rgb.png,443.0,34.582966,39.131962,26.350721
dish_1558031628,imagery/realsense_overhead/dish_1558031628/rgb.png,92.0,7.36,0.736,0.184
dish_1558029148,imagery/realsense_overhead/dish_1558029148/rgb.png,108.0,9.72,0.54,0.108
dish_1558461431,imagery/realsense_overhead/dish_1558461431/rgb.png,5.0,0.18,0.145,0.02
dish_1562790824,imagery/realsense_overhead/dish_1562790824/rgb.png,368.0,19.273878,49.859921,49.829514
dish_1558718610,imagery/realsense_overhead/dish_1558718610/rgb.png,107.0,23.539999,3.317,2.568
dish_1562959129,imagery/realsense_overhead/dish_1562959129/rgb.png,293.0,47.374996,24.672005,22.177427
dish_1560975517,imagery/realsense_overhead/dish_1560975517/rgb.png,99.0,4.608,3.064,1.858
dish_1558641075,imagery/realsense_overhead/dish_1558641075/rgb.png,69.0,2.691,0.621,0.138
dish_1560455158,imagery/realsense_overhead/dish_1560455158/rgb.png,55.0,3.531324,1.433316,5.892522
dish_1565972715,imagery/realsense_overhead/dish_1565972715/rgb.png,510.0,15.662046,43.166805,46.845226
dish_1558639787,imagery/realsense_overhead/dish_1558639787/rgb.png,99.0,4.95,1.782,0.297
dish_1560203424,imagery/realsense_overhead/dish_1560203424/rgb.png,138.0,50.211998,14.587999,22.271999
dish_1558724912,imagery/realsense_overhead/dish_1558724912/rgb.png,75.0,7.5,0.675,0.15
dish_1563913675,imagery/realsense_overhead/dish_1563913675/rgb.png,228.0,31.848915,12.170398,12.514251
dish_1567542876,imagery/realsense_overhead/dish_1567542876/rgb.png,260.0,45.708035,29.519905,21.002985
dish_1561753075,imagery/realsense_overhead/dish_1561753075/rgb.png,668.0,46.316841,82.687485,47.436813
dish_1559244305,imagery/realsense_overhead/dish_1559244305/rgb.png,64.0,9.832837,3.483331,7.04521
dish_1561577573,imagery/realsense_overhead/dish_1561577573/rgb.png,346.0,24.98456,66.063805,40.638695
dish_1563550614,imagery/realsense_overhead/dish_1563550614/rgb.png,205.0,11.551586,15.085366,1.753415
dish_1565204891,imagery/realsense_overhead/dish_1565204891/rgb.png,314.0,40.929695,16.297201,9.08052
dish_1558115011,imagery/realsense_overhead/dish_1558115011/rgb.png,20.0,4.54,4.48,9.9
dish_1562776497,imagery/realsense_overhead/dish_1562776497/rgb.png,292.0,32.771591,11.634132,13.205418
dish_1559675234,imagery/realsense_overhead/dish_1559675234/rgb.png,120.0,8.135,2.075,0.271
dish_1565638323,imagery/realsense_overhead/dish_1565638323/rgb.png,274.0,29.2488,38.302158,20.744896
dish_1561405836,imagery/realsense_overhead/dish_1561405836/rgb.png,31.0,10.385,3.472,2.914
dish_1565898659,imagery/realsense_overhead/dish_1565898659/rgb.png,537.0,16.11227,97.243431,11.448723
dish_1562169818,imagery/realsense_overhead/dish_1562169818/rgb.png,275.0,16.997473,19.754049,22.768761
dish_1559934679,imagery/realsense_overhead/dish_1559934679/rgb.png,146.0,4.518153,18.901001,7.257577
dish_1562698276,imagery/realsense_overhead/dish_1562698276/rgb.png,307.0,35.99662,31.992001,16.904676
dish_1558718051,imagery/realsense_overhead/dish_1558718051/rgb.png,97.0,4.85,1.746,0.291
dish_1560368764,imagery/realsense_overhead/dish_1560368764/rgb.png,270.0,14.017039,7.992478,15.165788
dish_1563563317,imagery/realsense_overhead/dish_1563563317/rgb.png,252.0,8.312,28.483,22.701002
dish_1565895966,imagery/realsense_overhead/dish_1565895966/rgb.png,287.0,16.800755,16.543627,9.93185
dish_1566933226,imagery/realsense_overhead/dish_1566933226/rgb.png,171.0,19.447062,22.552277,7.784025
dish_1558458737,imagery/realsense_overhead/dish_1558458737/rgb.png,32.0,8.96,0.864,0.096
dish_1561392593,imagery/realsense_overhead/dish_1561392593/rgb.png,325.0,19.139467,16.3906,24.260466
dish_1566416421,imagery/realsense_overhead/dish_1566416421/rgb.png,367.0,36.646526,12.292887,18.395054
dish_1562009120,imagery/realsense_overhead/dish_1562009120/rgb.png,146.0,6.257764,9.354047,5.247729
dish_1560444869,imagery/realsense_overhead/dish_1560444869/rgb.png,39.0,3.51,0.195,0.039
dish_1562872365,imagery/realsense_overhead/dish_1562872365/rgb.png,76.0,1.672,1.14,0.152
dish_1564773903,imagery/realsense_overhead/dish_1564773903/rgb.png,336.0,25.091196,19.580328,16.086779
dish_1563910137,imagery/realsense_overhead/dish_1563910137/rgb.png,141.0,11.986854,2.529557,8.903819
dish_1561661347,imagery/realsense_overhead/dish_1561661347/rgb.png,132.0,7.215,3.426,1.632
dish_1558721726,imagery/realsense_overhead/dish_1558721726/rgb.png,143.0,20.02,0.429,0.286
dish_1566931586,imagery/realsense_overhead/dish_1566931586/rgb.png,389.0,15.525999,46.593998,15.281001
dish_1563908923,imagery/realsense_overhead/dish_1563908923/rgb.png,112.0,4.816,3.584,2.352
dish_1563552016,imagery/realsense_overhead/dish_1563552016/rgb.png,174.0,69.953438,10.739063,19.477127
dish_1562784307,imagery/realsense_overhead/dish_1562784307/rgb.png,157.0,24.925295,5.678117,5.112942
dish_1564761388,imagery/realsense_overhead/dish_1564761388/rgb.png,105.0,0.735,10.5,0.21
dish_1561576295,imagery/realsense_overhead/dish_1561576295/rgb.png,232.0,23.931339,4.035298,16.084234
dish_1562876618,imagery/realsense_overhead/dish_1562876618/rgb.png,43.0,14.405001,4.816,4.042
dish_1558722247,imagery/realsense_overhead/dish_1558722247/rgb.png,343.0,46.771999,21.49,43.181
dish_1565640427,imagery/realsense_overhead/dish_1565640427/rgb.png,42.0,20.916,2.604,12.096
dish_1559841808,imagery/realsense_overhead/dish_1559841808/rgb.png,96.0,17.379999,1.29,0.57
dish_1560788349,imagery/realsense_overhead/dish_1560788349/rgb.png,134.0,4.824,13.400001,0.536
dish_1566847431,imagery/realsense_overhead/dish_1566847431/rgb.png,90.0,17.232075,3.76984,1.923067
dish_1565726812,imagery/realsense_overhead/dish_1565726812/rgb.png,65.0,4.439024,1.521951,1.839024
dish_1561061687,imagery/realsense_overhead/dish_1561061687/rgb.png,408.0,32.991673,41.733879,24.082794
dish_1563996279,imagery/realsense_overhead/dish_1563996279/rgb.png,278.0,19.73682,3.910173,1.893741
dish_1558115448,imagery/realsense_overhead/dish_1558115448/rgb.png,94.0,16.92,0.658,0.188
dish_1559843030,imagery/realsense_overhead/dish_1559843030/rgb.png,77.0,6.16,0.539,0.231
dish_1564073860,imagery/realsense_overhead/dish_1564073860/rgb.png,91.0,1.274,33.670002,38.219997
dish_1561739973,imagery/realsense_overhead/dish_1561739973/rgb.png,280.0,20.406,16.709999,16.279999
dish_1565811091,imagery/realsense_overhead/dish_1565811091/rgb.png,371.0,9.06,74.731003,17.632
dish_1559240441,imagery/realsense_overhead/dish_1559240441/rgb.png,59.0,4.72,0.413,0.177
dish_1565984434,imagery/realsense_overhead/dish_1565984434/rgb.png,430.0,36.362114,17.977343,12.747005
dish_1563811686,imagery/realsense_overhead/dish_1563811686/rgb.png,331.0,25.879768,16.288153,17.312544
dish_1561060925,imagery/realsense_overhead/dish_1561060925/rgb.png,156.0,9.30445,8.246765,4.284307
dish_1561663817,imagery/realsense_overhead/dish_1561663817/rgb.png,86.0,12.891619,2.099187,4.993594
dish_1566922978,imagery/realsense_overhead/dish_1566922978/rgb.png,84.0,1.344,8.400001,9.24
dish_1566316587,imagery/realsense_overhead/dish_1566316587/rgb.png,311.0,20.937225,26.908691,50.825043
dish_1560367715,imagery/realsense_overhead/dish_1560367715/rgb.png,305.0,40.813663,44.518318,26.680105
dish_1561575613,imagery/realsense_overhead/dish_1561575613/rgb.png,70.0,2.81841,1.679894,8.211153
dish_1558639266,imagery/realsense_overhead/dish_1558639266/rgb.png,29.0,6.38,0.899,0.696
dish_1558723537,imagery/realsense_overhead/dish_1558723537/rgb.png,58.0,2.9,1.044,0.174
dish_1566317742,imagery/realsense_overhead/dish_1566317742/rgb.png,254.0,28.464001,5.376,2.908
